datetime,open,high,low,close,tick_volume,spread,real_volume
2021-10-05 13:30:00,14531.65,14533.15,14529.65,14530.65,56,60,0
2021-10-05 13:31:00,14531.15,14531.9,14529.65,14530.15,32,60,0
2021-10-05 13:32:00,14530.15,14530.65,14526.15,14527.9,49,60,0
2021-10-05 13:33:00,14527.9,14531.15,14524.15,14525.65,65,60,0
2021-10-05 13:34:00,14525.9,14528.4,14525.65,14526.4,64,60,0
2021-10-05 13:35:00,14526.4,14531.65,14526.4,14530.65,58,60,0
2021-10-05 13:36:00,14530.65,14532.65,14528.9,14531.4,44,60,0
2021-10-05 13:37:00,14531.15,14539.75,14530.9,14537.75,55,60,0
2021-10-05 13:38:00,14537.75,14539.15,14535.9,14537.4,43,60,0
2021-10-05 13:39:00,14537.4,14539.9,14535.4,14539.9,42,60,0
2021-10-05 13:40:00,14539.4,14539.4,14534.65,14538.4,44,60,0
2021-10-05 13:41:00,14538.4,14539.9,14536.9,14538.65,40,60,0
2021-10-05 13:42:00,14538.65,14539.15,14532.15,14532.65,39,60,0
2021-10-05 13:43:00,14532.9,14534.4,14530.4,14530.4,38,60,0
2021-10-05 13:44:00,14530.65,14530.65,14527.65,14530.15,54,60,0
2021-10-05 13:45:00,14529.15,14529.9,14527.4,14528.4,50,60,0
2021-10-05 13:46:00,14528.15,14529.4,14522.9,14524.9,63,60,0
2021-10-05 13:47:00,14524.9,14524.9,14521.9,14521.9,39,60,0
2021-10-05 13:48:00,14521.9,14523.25,14518.4,14519.65,82,60,0
2021-10-05 13:49:00,14519.9,14525.15,14519.9,14524.15,58,60,0
2021-10-05 13:50:00,14524.15,14525.15,14520.65,14520.65,49,60,0
2021-10-05 13:51:00,14520.9,14521.65,14518.9,14521.15,67,60,0
2021-10-05 13:52:00,14521.4,14521.65,14517.65,14519.5,52,60,0
2021-10-05 13:53:00,14520.25,14522.4,14516.4,14516.4,59,60,0
2021-10-05 13:54:00,14517.65,14521.15,14517.4,14517.65,33,60,0
2021-10-05 13:55:00,14517.65,14523.4,14517.65,14522.9,49,60,0
2021-10-05 13:56:00,14522.9,14528.65,14522.9,14527.65,74,60,0
2021-10-05 13:57:00,14527.65,14529.15,14525.9,14526.9,59,60,0
2021-10-05 13:58:00,14526.9,14529.15,14526.15,14526.4,34,60,0
2021-10-05 13:59:00,14526.4,14530.65,14526.4,14529.15,53,60,0
2021-10-05 14:00:00,14528.4,14529.4,14524.4,14526.9,57,60,0
2021-10-05 14:01:00,14526.9,14530.9,14526.15,14530.65,47,60,0
2021-10-05 14:02:00,14530.65,14534.9,14530.65,14531.4,58,60,0
2021-10-05 14:03:00,14531.4,14534.9,14531.15,14532.9,52,60,0
2021-10-05 14:04:00,14532.9,14535.4,14527.4,14530.15,62,60,0
2021-10-05 14:05:00,14530.4,14532.65,14527.9,14528.4,59,60,0
2021-10-05 14:06:00,14527.65,14532.15,14526.15,14532.15,48,60,0
2021-10-05 14:07:00,14532.15,14533.65,14531.9,14532.4,49,60,0
2021-10-05 14:08:00,14532.15,14532.15,14526.65,14527.15,29,60,0
2021-10-05 14:09:00,14526.9,14528.4,14523.65,14525.9,55,60,0
2021-10-05 14:10:00,14526.15,14528.4,14525.4,14526.4,48,60,0
2021-10-05 14:11:00,14526.4,14526.9,14523.9,14524.9,28,60,0
2021-10-05 14:12:00,14524.9,14525.65,14523.4,14525.65,36,60,0
2021-10-05 14:13:00,14525.65,14525.9,14522.9,14522.9,47,60,0
2021-10-05 14:14:00,14523.4,14523.65,14521.4,14522.9,45,60,0
2021-10-05 14:15:00,14522.65,14529.8,14522.65,14529.8,50,60,0
2021-10-05 14:16:00,14529.3,14532.65,14527.9,14531.4,56,60,0
2021-10-05 14:17:00,14531.4,14531.65,14527.15,14527.4,29,60,0
2021-10-05 14:18:00,14527.9,14529.4,14526.4,14527.65,35,60,0
2021-10-05 14:19:00,14527.4,14529.15,14524.65,14527.65,36,60,0
2021-10-05 14:20:00,14527.65,14534.9,14527.4,14534.9,63,60,0
2021-10-05 14:21:00,14534.9,14535.4,14527.9,14529.15,61,60,0
2021-10-05 14:22:00,14529.4,14529.65,14524.65,14525.9,49,60,0
2021-10-05 14:23:00,14525.9,14526.4,14520.4,14520.65,60,60,0
2021-10-05 14:24:00,14520.65,14520.65,14509.9,14513.15,97,60,0
2021-10-05 14:25:00,14513.15,14522.65,14513.15,14521.15,81,60,0
2021-10-05 14:26:00,14520.9,14529.9,14520.9,14529.9,80,60,0
2021-10-05 14:27:00,14529.4,14530.65,14527.9,14529.4,56,60,0
2021-10-05 14:28:00,14529.4,14538.65,14528.9,14538.15,65,60,0
2021-10-05 14:29:00,14538.15,14541.15,14535.65,14537.9,75,60,0
2021-10-05 14:30:00,14537.9,14538.15,14531.4,14533.4,70,60,0
2021-10-05 14:31:00,14533.65,14534.15,14530.65,14531.4,55,60,0
2021-10-05 14:32:00,14530.9,14536.4,14529.65,14536.15,52,60,0
2021-10-05 14:33:00,14535.9,14535.9,14533.9,14533.9,40,60,0
2021-10-05 14:34:00,14533.9,14536.4,14532.9,14535.15,48,60,0
2021-10-05 14:35:00,14534.9,14539.65,14534.15,14539.65,52,60,0
2021-10-05 14:36:00,14539.65,14550.15,14539.65,14548.65,99,60,0
2021-10-05 14:37:00,14548.65,14554.05,14547.9,14552.55,84,60,0
2021-10-05 14:38:00,14552.3,14553.65,14548.65,14552.65,56,60,0
2021-10-05 14:39:00,14552.15,14555.9,14547.9,14555.15,67,60,0
2021-10-05 14:40:00,14554.9,14555.4,14547.65,14548.65,76,60,0
2021-10-05 14:41:00,14548.65,14549.15,14546.65,14548.4,61,60,0
2021-10-05 14:42:00,14547.4,14549.65,14543.65,14548.9,61,60,0
2021-10-05 14:43:00,14549.15,14550.9,14545.9,14549.15,59,60,0
2021-10-05 14:44:00,14549.4,14550.9,14547.9,14547.9,47,60,0
2021-10-05 14:45:00,14547.9,14548.65,14546.9,14548.4,51,60,0
2021-10-05 14:46:00,14548.4,14549.4,14547.4,14548.4,41,60,0
2021-10-05 14:47:00,14547.9,14549.9,14547.65,14548.15,42,60,0
2021-10-05 14:48:00,14548.4,14550.9,14548.4,14550.65,37,60,0
2021-10-05 14:49:00,14550.65,14550.65,14547.4,14548.65,33,60,0
2021-10-05 14:50:00,14548.4,14554.9,14548.4,14550.9,62,60,0
2021-10-05 14:51:00,14550.9,14550.9,14544.4,14545.65,51,60,0
2021-10-05 14:52:00,14545.4,14545.4,14537.9,14538.9,59,60,0
2021-10-05 14:53:00,14539.15,14539.65,14535.9,14539.15,52,60,0
2021-10-05 14:54:00,14538.4,14541.15,14537.4,14540.65,47,60,0
2021-10-05 14:55:00,14541.15,14542.65,14539.4,14539.4,55,60,0
2021-10-05 14:56:00,14539.4,14539.9,14532.65,14534.4,53,60,0
2021-10-05 14:57:00,14534.4,14539.4,14533.15,14538.65,76,60,0
2021-10-05 14:58:00,14538.65,14541.4,14537.65,14541.15,61,60,0
2021-10-05 14:59:00,14540.65,14540.65,14533.9,14536.15,57,60,0
2021-10-05 15:00:00,14533.65,14543.65,14533.4,14539.4,83,60,0
2021-10-05 15:01:00,14539.4,14541.4,14537.4,14541.15,67,60,0
2021-10-05 15:02:00,14541.65,14546.4,14541.65,14541.9,74,60,0
2021-10-05 15:03:00,14542.15,14542.15,14536.9,14539.4,72,60,0
2021-10-05 15:04:00,14539.4,14539.9,14537.15,14538.4,70,60,0
2021-10-05 15:05:00,14538.65,14538.65,14533.4,14535.65,91,60,0
2021-10-05 15:06:00,14535.9,14536.65,14533.4,14534.65,80,60,0
2021-10-05 15:07:00,14534.15,14539.4,14534.15,14538.4,81,60,0
2021-10-05 15:08:00,14538.4,14539.65,14533.15,14534.65,61,60,0
2021-10-05 15:09:00,14535.15,14537.15,14533.65,14536.15,61,60,0
2021-10-05 15:10:00,14536.4,14541.65,14536.4,14541.4,61,60,0
2021-10-05 15:11:00,14541.65,14543.9,14540.15,14542.65,59,60,0
2021-10-05 15:12:00,14542.65,14544.4,14541.15,14543.9,59,60,0
2021-10-05 15:13:00,14543.15,14548.4,14543.15,14547.15,60,60,0
2021-10-05 15:14:00,14547.15,14547.9,14543.9,14545.9,55,60,0
2021-10-05 15:15:00,14545.4,14548.15,14540.15,14543.65,66,60,0
2021-10-05 15:16:00,14543.65,14545.15,14539.9,14540.4,77,60,0
2021-10-05 15:17:00,14540.4,14541.65,14537.4,14539.4,63,60,0
2021-10-05 15:18:00,14539.15,14544.15,14537.9,14543.9,55,60,0
2021-10-05 15:19:00,14544.15,14545.9,14542.65,14543.65,61,60,0
2021-10-05 15:20:00,14544.15,14544.4,14538.9,14539.4,59,60,0
2021-10-05 15:21:00,14539.4,14539.65,14534.15,14534.9,79,60,0
2021-10-05 15:22:00,14535.15,14535.9,14529.65,14531.15,82,60,0
2021-10-05 15:23:00,14531.15,14532.15,14528.4,14531.4,63,60,0
2021-10-05 15:24:00,14531.9,14533.65,14531.4,14532.65,48,60,0
2021-10-05 15:25:00,14532.4,14534.4,14531.9,14531.9,63,60,0
2021-10-05 15:26:00,14532.15,14534.9,14531.9,14534.65,36,60,0
2021-10-05 15:27:00,14534.9,14534.9,14532.4,14534.4,48,60,0
2021-10-05 15:28:00,14534.4,14534.65,14531.9,14531.9,21,60,0
2021-10-05 15:29:00,14531.65,14532.15,14528.9,14530.17,50,60,0
2021-10-05 15:30:00,14530.65,14534.15,14526.4,14527.15,64,60,0
2021-10-05 15:31:00,14527.65,14529.4,14526.9,14526.9,47,60,0
2021-10-05 15:32:00,14526.9,14532.15,14526.15,14526.4,68,60,0
2021-10-05 15:33:00,14526.4,14527.9,14524.15,14524.15,65,60,0
2021-10-05 15:34:00,14525.15,14526.9,14523.9,14525.15,35,60,0
2021-10-05 15:35:00,14525.15,14527.15,14522.9,14525.15,59,60,0
2021-10-05 15:36:00,14525.4,14525.4,14523.15,14523.9,37,60,0
2021-10-05 15:37:00,14524.15,14524.9,14523.65,14524.4,27,60,0
2021-10-05 15:38:00,14524.65,14526.4,14521.55,14522.55,62,60,0
2021-10-05 15:39:00,14522.8,14530.65,14522.8,14530.4,63,60,0
2021-10-05 15:40:00,14530.4,14530.9,14528.15,14528.9,45,60,0
2021-10-05 15:41:00,14528.65,14528.65,14523.9,14525.65,58,60,0
2021-10-05 15:42:00,14525.4,14533.15,14525.4,14531.15,73,60,0
2021-10-05 15:43:00,14531.15,14533.15,14527.4,14532.65,51,60,0
2021-10-05 15:44:00,14532.9,14533.15,14530.15,14530.67,38,60,0
2021-10-05 15:45:00,14531.4,14532.4,14528.9,14530.15,41,60,0
2021-10-05 15:46:00,14530.15,14533.65,14530.15,14530.4,56,60,0
2021-10-05 15:47:00,14531.4,14531.65,14528.15,14530.4,52,60,0
2021-10-05 15:48:00,14530.65,14531.4,14528.4,14528.65,44,60,0
2021-10-05 15:49:00,14528.4,14530.4,14528.4,14529.65,31,60,0
2021-10-05 15:50:00,14529.65,14529.65,14526.65,14528.9,58,60,0
2021-10-05 15:51:00,14528.9,14530.9,14527.9,14530.9,56,60,0
2021-10-05 15:52:00,14530.65,14532.15,14530.15,14530.65,37,60,0
2021-10-05 15:53:00,14530.65,14530.9,14529.4,14530.4,44,60,0
2021-10-05 15:54:00,14529.9,14531.15,14528.9,14530.9,36,60,0
2021-10-05 15:55:00,14530.65,14534.4,14529.15,14534.15,48,60,0
2021-10-05 15:56:00,14534.15,14534.15,14530.65,14530.9,54,60,0
2021-10-05 15:57:00,14531.4,14531.4,14525.9,14529.15,51,60,0
2021-10-05 15:58:00,14529.65,14534.65,14527.15,14534.65,61,60,0
2021-10-05 15:59:00,14534.15,14534.65,14531.9,14533.9,46,60,0
2021-10-05 16:00:00,14533.65,14537.4,14530.4,14530.4,80,60,0
2021-10-05 16:01:00,14530.4,14531.9,14525.9,14526.65,76,60,0
2021-10-05 16:02:00,14526.65,14530.65,14525.9,14530.15,45,60,0
2021-10-05 16:03:00,14530.15,14531.4,14529.15,14530.15,41,60,0
2021-10-05 16:04:00,14529.4,14529.65,14526.15,14528.9,56,60,0
2021-10-05 16:05:00,14528.9,14529.4,14525.65,14529.4,68,60,0
2021-10-05 16:06:00,14529.4,14529.4,14522.75,14522.75,65,60,0
2021-10-05 16:07:00,14522.75,14524.5,14514.65,14517.65,113,60,0
2021-10-05 16:08:00,14517.15,14519.15,14514.4,14515.15,88,60,0
2021-10-05 16:09:00,14515.4,14515.65,14511.4,14512.9,100,60,0
2021-10-05 16:10:00,14512.65,14515.4,14511.4,14513.65,77,60,0
2021-10-05 16:11:00,14513.65,14515.9,14513.65,14515.4,64,60,0
2021-10-05 16:12:00,14516.15,14519.4,14515.9,14517.15,91,60,0
2021-10-05 16:13:00,14517.4,14517.9,14515.4,14515.65,67,60,0
2021-10-05 16:14:00,14515.65,14517.15,14514.9,14516.9,48,60,0
2021-10-05 16:15:00,14517.15,14519.9,14517.15,14518.15,72,60,0
2021-10-05 16:16:00,14518.4,14519.65,14516.4,14519.65,73,60,0
2021-10-05 16:17:00,14519.9,14519.9,14518.4,14519.65,45,60,0
2021-10-05 16:18:00,14519.9,14523.4,14519.65,14523.4,57,60,0
2021-10-05 16:19:00,14523.15,14525.4,14521.15,14524.9,77,60,0
2021-10-05 16:20:00,14524.65,14526.9,14518.15,14518.15,85,60,0
2021-10-05 16:21:00,14518.65,14521.65,14518.4,14520.4,63,60,0
2021-10-05 16:22:00,14520.15,14520.15,14515.15,14515.65,74,60,0
2021-10-05 16:23:00,14515.65,14516.65,14510.9,14512.15,83,60,0
2021-10-05 16:24:00,14511.9,14513.9,14510.9,14512.65,67,60,0
2021-10-05 16:25:00,14513.9,14519.9,14513.9,14516.9,79,60,0
2021-10-05 16:26:00,14517.65,14519.9,14516.4,14518.15,59,60,0
2021-10-05 16:27:00,14517.9,14523.65,14517.65,14519.9,91,60,0
2021-10-05 16:28:00,14517.9,14522.65,14517.9,14520.65,70,60,0
2021-10-05 16:29:00,14520.65,14522.4,14519.15,14521.65,91,60,0
2021-10-06 13:10:00,14462.9,14466.9,14462.4,14466.9,98,60,0
2021-10-06 13:11:00,14466.4,14467.4,14464.65,14464.65,67,60,0
2021-10-06 13:12:00,14464.65,14469.9,14464.4,14469.4,80,60,0
2021-10-06 13:13:00,14469.65,14470.65,14463.9,14464.9,78,60,0
2021-10-06 13:14:00,14464.9,14467.4,14462.9,14463.9,85,60,0
2021-10-06 13:15:00,14463.15,14466.4,14461.4,14465.15,74,60,0
2021-10-06 13:16:00,14465.15,14471.4,14463.9,14471.4,68,60,0
2021-10-06 13:17:00,14472.4,14479.65,14471.15,14478.65,81,60,0
2021-10-06 13:18:00,14477.15,14482.15,14477.15,14480.15,97,60,0
2021-10-06 13:19:00,14480.4,14480.4,14475.9,14477.65,60,60,0
2021-10-06 13:20:00,14477.65,14481.4,14476.4,14477.4,71,60,0
2021-10-06 13:21:00,14477.65,14477.65,14472.65,14473.9,75,60,0
2021-10-06 13:22:00,14473.9,14473.9,14467.9,14468.15,79,60,0
2021-10-06 13:23:00,14468.15,14469.8,14463.65,14464.4,84,60,0
2021-10-06 13:24:00,14464.4,14469.65,14464.15,14468.9,64,60,0
2021-10-06 13:25:00,14468.9,14473.9,14468.4,14473.4,73,60,0
2021-10-06 13:26:00,14473.65,14475.65,14470.65,14470.9,59,60,0
2021-10-06 13:27:00,14470.9,14471.65,14468.4,14468.4,40,60,0
2021-10-06 13:28:00,14468.4,14468.9,14466.15,14467.4,53,60,0
2021-10-06 13:29:00,14467.65,14470.4,14467.65,14470.15,85,60,0
2021-10-06 13:30:00,14470.4,14470.9,14467.65,14470.65,66,60,0
2021-10-06 13:31:00,14470.65,14470.9,14466.65,14468.65,64,60,0
2021-10-06 13:32:00,14467.9,14468.15,14460.65,14461.4,81,60,0
2021-10-06 13:33:00,14461.65,14462.4,14453.65,14456.4,79,60,0
2021-10-06 13:34:00,14456.65,14461.4,14455.9,14461.4,102,60,0
2021-10-06 13:35:00,14461.15,14462.65,14457.15,14462.4,63,60,0
2021-10-06 13:36:00,14461.4,14463.4,14460.65,14462.4,52,60,0
2021-10-06 13:37:00,14461.9,14463.9,14459.4,14462.15,72,60,0
2021-10-06 13:38:00,14461.9,14464.9,14460.65,14464.9,59,60,0
2021-10-06 13:39:00,14464.65,14467.4,14463.4,14467.4,64,60,0
2021-10-06 13:40:00,14467.65,14473.15,14467.65,14469.15,76,60,0
2021-10-06 13:41:00,14470.65,14471.15,14466.9,14469.65,70,60,0
2021-10-06 13:42:00,14469.9,14470.9,14467.9,14469.4,60,60,0
2021-10-06 13:43:00,14469.9,14471.15,14462.65,14465.9,97,60,0
2021-10-06 13:44:00,14467.15,14467.4,14459.4,14460.9,93,60,0
2021-10-06 13:45:00,14460.9,14461.65,14454.65,14456.4,84,60,0
2021-10-06 13:46:00,14456.15,14458.65,14454.15,14458.15,73,60,0
2021-10-06 13:47:00,14457.9,14457.9,14453.15,14454.9,73,60,0
2021-10-06 13:48:00,14454.65,14454.9,14448.65,14451.4,83,60,0
2021-10-06 13:49:00,14451.15,14456.9,14450.9,14456.9,70,60,0
2021-10-06 13:50:00,14456.65,14457.4,14454.9,14455.9,50,60,0
2021-10-06 13:51:00,14455.4,14455.65,14448.65,14449.9,79,60,0
2021-10-06 13:52:00,14449.9,14454.4,14449.65,14452.9,64,60,0
2021-10-06 13:53:00,14453.4,14456.4,14453.15,14455.9,74,60,0
2021-10-06 13:54:00,14455.9,14456.4,14451.4,14454.4,70,60,0
2021-10-06 13:55:00,14454.15,14456.65,14450.9,14455.15,74,60,0
2021-10-06 13:56:00,14454.65,14454.9,14451.4,14452.15,53,60,0
2021-10-06 13:57:00,14451.9,14451.9,14444.65,14449.9,90,60,0
2021-10-06 13:58:00,14449.9,14461.9,14449.65,14460.65,92,60,0
2021-10-06 13:59:00,14460.65,14467.15,14460.4,14464.65,86,60,0
2021-10-06 14:00:00,14464.4,14467.4,14461.4,14463.9,107,60,0
2021-10-06 14:01:00,14463.65,14470.65,14463.65,14470.4,105,60,0
2021-10-06 14:02:00,14470.4,14470.4,14464.4,14467.4,84,60,0
2021-10-06 14:03:00,14467.4,14474.15,14466.9,14471.9,89,60,0
2021-10-06 14:04:00,14471.65,14471.65,14465.4,14468.65,79,60,0
2021-10-06 14:05:00,14469.65,14469.65,14464.9,14464.9,64,60,0
2021-10-06 14:06:00,14465.15,14472.8,14465.15,14471.55,77,60,0
2021-10-06 14:07:00,14471.3,14471.9,14466.9,14466.9,92,60,0
2021-10-06 14:08:00,14466.9,14470.65,14466.15,14469.9,73,60,0
2021-10-06 14:09:00,14469.9,14469.9,14467.4,14468.9,42,60,0
2021-10-06 14:10:00,14469.15,14478.65,14467.65,14477.9,75,60,0
2021-10-06 14:11:00,14477.65,14485.4,14477.15,14478.4,107,60,0
2021-10-06 14:12:00,14478.9,14479.4,14475.9,14478.9,58,60,0
2021-10-06 14:13:00,14478.65,14486.9,14477.4,14486.4,88,60,0
2021-10-06 14:14:00,14486.4,14487.4,14483.15,14486.4,93,60,0
2021-10-06 14:15:00,14487.15,14491.9,14484.65,14491.65,92,60,0
2021-10-06 14:16:00,14491.65,14491.9,14484.4,14485.4,104,60,0
2021-10-06 14:17:00,14485.4,14487.4,14484.9,14486.15,73,60,0
2021-10-06 14:18:00,14485.9,14487.4,14483.15,14486.9,71,60,0
2021-10-06 14:19:00,14487.15,14487.15,14482.9,14485.15,66,60,0
2021-10-06 14:20:00,14484.9,14485.9,14483.4,14485.4,63,60,0
2021-10-06 14:21:00,14485.4,14485.9,14483.9,14484.4,51,60,0
2021-10-06 14:22:00,14484.4,14486.9,14482.9,14486.65,52,60,0
2021-10-06 14:23:00,14486.65,14487.65,14485.4,14487.65,52,60,0
2021-10-06 14:24:00,14487.65,14487.9,14484.65,14485.4,58,60,0
2021-10-06 14:25:00,14485.4,14486.9,14483.65,14485.4,42,60,0
2021-10-06 14:26:00,14485.4,14492.4,14485.4,14491.65,74,60,0
2021-10-06 14:27:00,14491.65,14491.65,14483.4,14483.65,95,60,0
2021-10-06 14:28:00,14483.65,14483.9,14478.9,14480.9,94,60,0
2021-10-06 14:29:00,14480.9,14486.65,14477.65,14485.15,94,60,0
2021-10-06 14:30:00,14484.65,14485.9,14480.4,14481.9,101,60,0
2021-10-06 14:31:00,14481.9,14488.4,14480.15,14488.4,70,60,0
2021-10-06 14:32:00,14488.15,14491.15,14484.15,14484.9,93,60,0
2021-10-06 14:33:00,14483.4,14484.75,14476.9,14476.9,91,60,0
2021-10-06 14:34:00,14476.9,14476.9,14471.9,14473.9,114,60,0
2021-10-06 14:35:00,14475.65,14477.15,14472.9,14475.15,88,60,0
2021-10-06 14:36:00,14476.65,14481.65,14475.65,14481.4,76,60,0
2021-10-06 14:37:00,14481.9,14482.65,14479.75,14481.0,57,60,0
2021-10-06 14:38:00,14481.0,14481.75,14474.65,14475.4,83,60,0
2021-10-06 14:39:00,14475.4,14481.75,14475.4,14479.15,83,60,0
2021-10-06 14:40:00,14478.9,14479.9,14476.65,14478.65,100,60,0
2021-10-06 14:41:00,14479.4,14480.9,14477.15,14477.4,81,60,0
2021-10-06 14:42:00,14477.65,14480.65,14477.15,14478.9,61,60,0
2021-10-06 14:43:00,14477.9,14480.15,14476.65,14479.65,68,60,0
2021-10-06 14:44:00,14479.15,14479.65,14473.4,14473.9,77,60,0
2021-10-06 14:45:00,14473.9,14478.4,14472.4,14473.65,93,60,0
