datetime,open,high,low,close,tick_volume,spread,real_volume
2026-03-05 15:37:00,24962.95,24977.55,24960.25,24972.25,410,190,0
2026-03-05 15:38:00,24972.95,24981.25,24972.65,24976.75,322,190,0
2026-03-05 15:39:00,24977.65,24982.55,24966.05,24970.65,385,190,0
2026-03-05 15:40:00,24970.55,24975.05,24962.55,24970.45,392,190,0
2026-03-05 15:41:00,24970.95,24985.65,24969.75,24974.15,365,190,0
2026-03-05 15:42:00,24973.65,24990.25,24973.65,24989.25,367,190,0
2026-03-05 15:43:00,24989.45,24993.05,24986.55,24990.05,323,190,0
2026-03-05 15:44:00,24989.15,24990.65,24981.55,24986.55,336,190,0
2026-03-05 15:45:00,24986.45,24995.75,24980.55,24995.75,357,190,0
2026-03-05 15:46:00,24995.95,24998.45,24982.75,24991.05,352,190,0
2026-03-05 15:47:00,24991.15,24994.55,24986.55,24988.55,339,190,0
2026-03-05 15:48:00,24989.25,24999.25,24988.95,24992.45,377,190,0
2026-03-05 15:49:00,24992.15,25004.45,24990.55,24996.25,378,190,0
2026-03-05 15:50:00,24997.15,25001.65,24991.45,25001.15,333,190,0
2026-03-05 15:51:00,25001.95,25008.95,24995.75,25003.25,402,190,0
2026-03-05 15:52:00,25002.65,25013.55,25002.45,25007.15,386,190,0
2026-03-05 15:53:00,25006.75,25011.25,24999.25,25000.65,361,190,0
2026-03-05 15:54:00,25000.15,25000.65,24988.75,24990.55,395,190,0
2026-03-05 15:55:00,24990.45,24992.65,24982.05,24985.75,388,190,0
2026-03-05 15:56:00,24985.95,24986.45,24972.95,24978.75,414,190,0
2026-03-05 15:57:00,24978.05,24980.05,24965.25,24969.45,399,190,0
2026-03-05 15:58:00,24968.75,24969.65,24947.05,24951.65,445,190,0
2026-03-05 15:59:00,24952.45,24966.15,24951.75,24959.55,409,190,0
2026-03-05 16:00:00,24959.15,24974.45,24957.65,24968.05,447,190,0
2026-03-05 16:01:00,24968.25,24968.25,24950.45,24955.55,415,190,0
2026-03-05 16:02:00,24954.05,24966.95,24952.15,24958.95,459,190,0
2026-03-05 16:03:00,24959.15,24976.25,24958.55,24960.55,418,190,0
2026-03-05 16:04:00,24960.65,24962.95,24943.95,24954.95,414,190,0
2026-03-05 16:05:00,24954.45,24961.55,24948.15,24959.65,378,190,0
2026-03-05 16:06:00,24959.55,24973.95,24957.65,24958.65,400,190,0
2026-03-05 16:07:00,24958.25,24960.15,24946.25,24948.95,447,190,0
2026-03-05 16:08:00,24948.65,24957.65,24946.45,24956.25,381,190,0
